costs,locs,techs,cost_depreciation_rate
monetary,NL11,battery,0.11326683573865819
monetary,NL11,ccgt,0.11016807219002081
monetary,NL11,hvac_transmission:NL12,0.10032950922550408
monetary,NL11,hvac_transmission:NL13,0.10032950922550408
monetary,NL11,hydrogen_to_power,0.13147377688737216
monetary,NL11,pv_farm,0.1028848670767948
monetary,NL11,pv_rooftop,0.1028848670767948
monetary,NL11,wind_offshore,0.1060792482526339
monetary,NL11,wind_onshore,0.10707971333223756
monetary,NL12,battery,0.11326683573865819
monetary,NL12,ccgt,0.11016807219002081
monetary,NL12,hvac_transmission:NL11,0.10032950922550408
monetary,NL12,hvac_transmission:NL23,0.10032950922550408
monetary,NL12,hydrogen_to_power,0.13147377688737216
monetary,NL12,pv_farm,0.1028848670767948
monetary,NL12,pv_rooftop,0.1028848670767948
monetary,NL12,wind_offshore,0.1060792482526339
monetary,NL12,wind_onshore,0.10707971333223756
monetary,NL13,battery,0.11326683573865819
monetary,NL13,ccgt,0.11016807219002081
monetary,NL13,hvac_transmission:NL11,0.10032950922550408
monetary,NL13,hvac_transmission:NL21,0.10032950922550408
monetary,NL13,hydrogen_to_power,0.13147377688737216
monetary,NL13,pv_farm,0.1028848670767948
monetary,NL13,pv_rooftop,0.1028848670767948
monetary,NL13,wind_onshore,0.10707971333223756
monetary,NL21,battery,0.11326683573865819
monetary,NL21,ccgt,0.11016807219002081
monetary,NL21,hvac_transmission:NL13,0.10032950922550408
monetary,NL21,hvac_transmission:NL22,0.10032950922550408
monetary,NL21,hvac_transmission:NL23,0.10032950922550408
monetary,NL21,hydrogen_to_power,0.13147377688737216
monetary,NL21,pv_farm,0.1028848670767948
monetary,NL21,pv_rooftop,0.1028848670767948
monetary,NL21,wind_onshore,0.10707971333223756
monetary,NL22,battery,0.11326683573865819
monetary,NL22,ccgt,0.11016807219002081
monetary,NL22,hvac_transmission:NL21,0.10032950922550408
monetary,NL22,hvac_transmission:NL41,0.10032950922550408
monetary,NL22,hydrogen_to_power,0.13147377688737216
monetary,NL22,pv_farm,0.1028848670767948
monetary,NL22,pv_rooftop,0.1028848670767948
monetary,NL22,wind_onshore,0.10707971333223756
monetary,NL23,battery,0.11326683573865819
monetary,NL23,ccgt,0.11016807219002081
monetary,NL23,hvac_transmission:NL12,0.10032950922550408
monetary,NL23,hvac_transmission:NL21,0.10032950922550408
monetary,NL23,hvac_transmission:NL32,0.10032950922550408
monetary,NL23,hydrogen_to_power,0.13147377688737216
monetary,NL23,pv_farm,0.1028848670767948
monetary,NL23,pv_rooftop,0.1028848670767948
monetary,NL23,wind_offshore,0.1060792482526339
monetary,NL23,wind_onshore,0.10707971333223756
monetary,NL31,battery,0.11326683573865819
monetary,NL31,ccgt,0.11016807219002081
monetary,NL31,hvac_transmission:NL32,0.10032950922550408
monetary,NL31,hvac_transmission:NL33,0.10032950922550408
monetary,NL31,hydrogen_to_power,0.13147377688737216
monetary,NL31,pv_farm,0.1028848670767948
monetary,NL31,pv_rooftop,0.1028848670767948
monetary,NL31,wind_onshore,0.10707971333223756
monetary,NL32,battery,0.11326683573865819
monetary,NL32,ccgt,0.11016807219002081
monetary,NL32,hvac_transmission:NL23,0.10032950922550408
monetary,NL32,hvac_transmission:NL31,0.10032950922550408
monetary,NL32,hvac_transmission:NL33,0.10032950922550408
monetary,NL32,hydrogen_to_power,0.13147377688737216
monetary,NL32,pv_farm,0.1028848670767948
monetary,NL32,pv_rooftop,0.1028848670767948
monetary,NL32,wind_offshore,0.1060792482526339
monetary,NL32,wind_onshore,0.10707971333223756
monetary,NL33,battery,0.11326683573865819
monetary,NL33,hvac_transmission:NL31,0.10032950922550408
monetary,NL33,hvac_transmission:NL32,0.10032950922550408
monetary,NL33,hvac_transmission:NL41,0.10032950922550408
monetary,NL33,hydrogen_to_power,0.13147377688737216
monetary,NL33,pv_farm,0.1028848670767948
monetary,NL33,pv_rooftop,0.1028848670767948
monetary,NL33,wind_offshore,0.1060792482526339
monetary,NL33,wind_onshore,0.10707971333223756
monetary,NL34,battery,0.11326683573865819
monetary,NL34,ccgt,0.11016807219002081
monetary,NL34,hvac_transmission:NL41,0.10032950922550408
monetary,NL34,hydrogen_to_power,0.13147377688737216
monetary,NL34,pv_farm,0.1028848670767948
monetary,NL34,pv_rooftop,0.1028848670767948
monetary,NL34,wind_offshore,0.1060792482526339
monetary,NL34,wind_onshore,0.10707971333223756
monetary,NL41,battery,0.11326683573865819
monetary,NL41,ccgt,0.11016807219002081
monetary,NL41,hvac_transmission:NL22,0.10032950922550408
monetary,NL41,hvac_transmission:NL33,0.10032950922550408
monetary,NL41,hvac_transmission:NL34,0.10032950922550408
monetary,NL41,hvac_transmission:NL42,0.10032950922550408
monetary,NL41,hydrogen_to_power,0.13147377688737216
monetary,NL41,pv_farm,0.1028848670767948
monetary,NL41,pv_rooftop,0.1028848670767948
monetary,NL41,wind_onshore,0.10707971333223756
monetary,NL42,battery,0.11326683573865819
monetary,NL42,ccgt,0.11016807219002081
monetary,NL42,hvac_transmission:NL41,0.10032950922550408
monetary,NL42,hydrogen_to_power,0.13147377688737216
monetary,NL42,pv_farm,0.1028848670767948
monetary,NL42,pv_rooftop,0.1028848670767948
monetary,NL42,wind_onshore,0.10707971333223756
