costs,locs,techs,cost_om_con
monetary,NL11,ccgt,0.1
monetary,NL11,curtailment,0.0
monetary,NL12,ccgt,0.1
monetary,NL12,curtailment,0.0
monetary,NL13,ccgt,0.1
monetary,NL13,curtailment,0.0
monetary,NL21,ccgt,0.1
monetary,NL21,curtailment,0.0
monetary,NL22,ccgt,0.1
monetary,NL22,curtailment,0.0
monetary,NL23,ccgt,0.1
monetary,NL23,curtailment,0.0
monetary,NL31,ccgt,0.1
monetary,NL31,curtailment,0.0
monetary,NL32,ccgt,0.1
monetary,NL32,curtailment,0.0
monetary,NL33,curtailment,0.0
monetary,NL34,ccgt,0.1
monetary,NL34,curtailment,0.0
monetary,NL41,ccgt,0.1
monetary,NL41,curtailment,0.0
monetary,NL42,ccgt,0.1
monetary,NL42,curtailment,0.0
