costs,locs,techs,cost_om_prod
monetary,NL11,battery,0.002
monetary,NL11,ccgt,0.00455
monetary,NL11,hydrogen_to_power,0.0
monetary,NL11,lost_load,10000.0
monetary,NL11,pv_farm,0.0
monetary,NL11,pv_rooftop,0.0
monetary,NL11,wind_offshore,0.0
monetary,NL11,wind_onshore,0.0
monetary,NL12,battery,0.002
monetary,NL12,ccgt,0.00455
monetary,NL12,hydrogen_to_power,0.0
monetary,NL12,lost_load,10000.0
monetary,NL12,pv_farm,0.0
monetary,NL12,pv_rooftop,0.0
monetary,NL12,wind_offshore,0.0
monetary,NL12,wind_onshore,0.0
monetary,NL13,battery,0.002
monetary,NL13,ccgt,0.00455
monetary,NL13,hydrogen_to_power,0.0
monetary,NL13,lost_load,10000.0
monetary,NL13,pv_farm,0.0
monetary,NL13,pv_rooftop,0.0
monetary,NL13,wind_onshore,0.0
monetary,NL21,battery,0.002
monetary,NL21,ccgt,0.00455
monetary,NL21,hydrogen_to_power,0.0
monetary,NL21,lost_load,10000.0
monetary,NL21,pv_farm,0.0
monetary,NL21,pv_rooftop,0.0
monetary,NL21,wind_onshore,0.0
monetary,NL22,battery,0.002
monetary,NL22,ccgt,0.00455
monetary,NL22,hydrogen_to_power,0.0
monetary,NL22,lost_load,10000.0
monetary,NL22,pv_farm,0.0
monetary,NL22,pv_rooftop,0.0
monetary,NL22,wind_onshore,0.0
monetary,NL23,battery,0.002
monetary,NL23,ccgt,0.00455
monetary,NL23,hydrogen_to_power,0.0
monetary,NL23,lost_load,10000.0
monetary,NL23,pv_farm,0.0
monetary,NL23,pv_rooftop,0.0
monetary,NL23,wind_offshore,0.0
monetary,NL23,wind_onshore,0.0
monetary,NL31,battery,0.002
monetary,NL31,ccgt,0.00455
monetary,NL31,hydrogen_to_power,0.0
monetary,NL31,lost_load,10000.0
monetary,NL31,pv_farm,0.0
monetary,NL31,pv_rooftop,0.0
monetary,NL31,wind_onshore,0.0
monetary,NL32,battery,0.002
monetary,NL32,ccgt,0.00455
monetary,NL32,hydrogen_to_power,0.0
monetary,NL32,lost_load,10000.0
monetary,NL32,pv_farm,0.0
monetary,NL32,pv_rooftop,0.0
monetary,NL32,wind_offshore,0.0
monetary,NL32,wind_onshore,0.0
monetary,NL33,battery,0.002
monetary,NL33,hydrogen_to_power,0.0
monetary,NL33,lost_load,10000.0
monetary,NL33,pv_farm,0.0
monetary,NL33,pv_rooftop,0.0
monetary,NL33,wind_offshore,0.0
monetary,NL33,wind_onshore,0.0
monetary,NL34,battery,0.002
monetary,NL34,ccgt,0.00455
monetary,NL34,hydrogen_to_power,0.0
monetary,NL34,lost_load,10000.0
monetary,NL34,pv_farm,0.0
monetary,NL34,pv_rooftop,0.0
monetary,NL34,wind_offshore,0.0
monetary,NL34,wind_onshore,0.0
monetary,NL41,battery,0.002
monetary,NL41,ccgt,0.00455
monetary,NL41,hydrogen_to_power,0.0
monetary,NL41,lost_load,10000.0
monetary,NL41,pv_farm,0.0
monetary,NL41,pv_rooftop,0.0
monetary,NL41,wind_onshore,0.0
monetary,NL42,battery,0.002
monetary,NL42,ccgt,0.00455
monetary,NL42,hydrogen_to_power,0.0
monetary,NL42,lost_load,10000.0
monetary,NL42,pv_farm,0.0
monetary,NL42,pv_rooftop,0.0
monetary,NL42,wind_onshore,0.0
