costs,locs,techs,cost_storage_cap
monetary,NL11,battery,885.0
monetary,NL11,hydrogen_to_power,22.982
monetary,NL12,battery,885.0
monetary,NL12,hydrogen_to_power,22.982
monetary,NL13,battery,885.0
monetary,NL13,hydrogen_to_power,22.982
monetary,NL21,battery,885.0
monetary,NL21,hydrogen_to_power,22.982
monetary,NL22,battery,885.0
monetary,NL22,hydrogen_to_power,22.982
monetary,NL23,battery,885.0
monetary,NL23,hydrogen_to_power,22.982
monetary,NL31,battery,885.0
monetary,NL31,hydrogen_to_power,22.982
monetary,NL32,battery,885.0
monetary,NL32,hydrogen_to_power,22.982
monetary,NL33,battery,885.0
monetary,NL33,hydrogen_to_power,22.982
monetary,NL34,battery,885.0
monetary,NL34,hydrogen_to_power,22.982
monetary,NL41,battery,885.0
monetary,NL41,hydrogen_to_power,22.982
monetary,NL42,battery,885.0
monetary,NL42,hydrogen_to_power,22.982
