locs,techs,distance
NL11,hvac_transmission:NL12,78.08059088268635
NL11,hvac_transmission:NL13,51.40669619092387
NL12,hvac_transmission:NL11,78.08059088268635
NL12,hvac_transmission:NL23,77.01279250805582
NL13,hvac_transmission:NL11,51.40669619092387
NL13,hvac_transmission:NL21,57.68592103711268
NL21,hvac_transmission:NL13,57.68592103711268
NL21,hvac_transmission:NL22,74.3546324021931
NL21,hvac_transmission:NL23,70.1574152900598
NL22,hvac_transmission:NL21,74.3546324021931
NL22,hvac_transmission:NL41,91.64766157833785
NL23,hvac_transmission:NL12,77.01279250805582
NL23,hvac_transmission:NL21,70.1574152900598
NL23,hvac_transmission:NL32,84.8212339513288
NL31,hvac_transmission:NL32,34.96977818838089
NL31,hvac_transmission:NL33,54.0333446482031
NL32,hvac_transmission:NL23,84.8212339513288
NL32,hvac_transmission:NL31,34.96977818838089
NL32,hvac_transmission:NL33,62.54522684034896
NL33,hvac_transmission:NL31,54.0333446482031
NL33,hvac_transmission:NL32,62.54522684034896
NL33,hvac_transmission:NL41,79.05131602490407
NL34,hvac_transmission:NL41,81.91534737849409
NL41,hvac_transmission:NL22,91.64766157833785
NL41,hvac_transmission:NL33,79.05131602490407
NL41,hvac_transmission:NL34,81.91534737849409
NL41,hvac_transmission:NL42,88.7810048549968
NL42,hvac_transmission:NL41,88.7810048549968
