locs,techs,energy_cap_max
NL11,hvac_transmission:NL12,3.4401
NL11,hvac_transmission:NL13,15.3276
NL11,pv_farm,2500.0
NL11,pv_rooftop,5000.0
NL11,wind_offshore,5000.0
NL11,wind_onshore,5000.0
NL12,hvac_transmission:NL11,3.4401
NL12,hvac_transmission:NL23,3.4401
NL12,pv_farm,2500.0
NL12,pv_rooftop,5000.0
NL12,wind_offshore,5000.0
NL12,wind_onshore,5000.0
NL13,hvac_transmission:NL11,15.3276
NL13,hvac_transmission:NL21,15.3276
NL13,pv_farm,2500.0
NL13,pv_rooftop,5000.0
NL13,wind_onshore,5000.0
NL21,hvac_transmission:NL13,15.3276
NL21,hvac_transmission:NL22,11.8867
NL21,hvac_transmission:NL23,15.3276
NL21,pv_farm,2500.0
NL21,pv_rooftop,5000.0
NL21,wind_onshore,5000.0
NL22,hvac_transmission:NL21,11.8867
NL22,hvac_transmission:NL41,11.8867
NL22,pv_farm,2500.0
NL22,pv_rooftop,5000.0
NL22,wind_onshore,5000.0
NL23,hvac_transmission:NL12,3.4401
NL23,hvac_transmission:NL21,15.3276
NL23,hvac_transmission:NL32,16.9811
NL23,pv_farm,2500.0
NL23,pv_rooftop,5000.0
NL23,wind_offshore,5000.0
NL23,wind_onshore,5000.0
NL31,hvac_transmission:NL32,11.8867
NL31,hvac_transmission:NL33,1.1886
NL31,pv_farm,2500.0
NL31,pv_rooftop,5000.0
NL31,wind_onshore,5000.0
NL32,hvac_transmission:NL23,16.9811
NL32,hvac_transmission:NL31,11.8867
NL32,hvac_transmission:NL33,11.8867
NL32,pv_farm,2500.0
NL32,pv_rooftop,5000.0
NL32,wind_offshore,5000.0
NL32,wind_onshore,5000.0
NL33,hvac_transmission:NL31,1.1886
NL33,hvac_transmission:NL32,11.8867
NL33,hvac_transmission:NL41,11.8867
NL33,pv_farm,2500.0
NL33,pv_rooftop,5000.0
NL33,wind_offshore,5000.0
NL33,wind_onshore,5000.0
NL34,hvac_transmission:NL41,11.8867
NL34,pv_farm,2500.0
NL34,pv_rooftop,5000.0
NL34,wind_offshore,5000.0
NL34,wind_onshore,5000.0
NL41,hvac_transmission:NL22,11.8867
NL41,hvac_transmission:NL33,11.8867
NL41,hvac_transmission:NL34,11.8867
NL41,hvac_transmission:NL42,23.7734
NL41,pv_farm,2500.0
NL41,pv_rooftop,5000.0
NL41,wind_onshore,5000.0
NL42,hvac_transmission:NL41,23.7734
NL42,pv_farm,2500.0
NL42,pv_rooftop,5000.0
NL42,wind_onshore,5000.0
