locs,techs,energy_con
NL11,battery,1.0
NL11,curtailment,1.0
NL11,demand_electricity,1.0
NL11,hvac_transmission:NL12,1.0
NL11,hvac_transmission:NL13,1.0
NL11,hydrogen_to_power,1.0
NL12,battery,1.0
NL12,curtailment,1.0
NL12,demand_electricity,1.0
NL12,hvac_transmission:NL11,1.0
NL12,hvac_transmission:NL23,1.0
NL12,hydrogen_to_power,1.0
NL13,battery,1.0
NL13,curtailment,1.0
NL13,demand_electricity,1.0
NL13,hvac_transmission:NL11,1.0
NL13,hvac_transmission:NL21,1.0
NL13,hydrogen_to_power,1.0
NL21,battery,1.0
NL21,curtailment,1.0
NL21,demand_electricity,1.0
NL21,hvac_transmission:NL13,1.0
NL21,hvac_transmission:NL22,1.0
NL21,hvac_transmission:NL23,1.0
NL21,hydrogen_to_power,1.0
NL22,battery,1.0
NL22,curtailment,1.0
NL22,demand_electricity,1.0
NL22,hvac_transmission:NL21,1.0
NL22,hvac_transmission:NL41,1.0
NL22,hydrogen_to_power,1.0
NL23,battery,1.0
NL23,curtailment,1.0
NL23,demand_electricity,1.0
NL23,hvac_transmission:NL12,1.0
NL23,hvac_transmission:NL21,1.0
NL23,hvac_transmission:NL32,1.0
NL23,hydrogen_to_power,1.0
NL31,battery,1.0
NL31,curtailment,1.0
NL31,demand_electricity,1.0
NL31,hvac_transmission:NL32,1.0
NL31,hvac_transmission:NL33,1.0
NL31,hydrogen_to_power,1.0
NL32,battery,1.0
NL32,curtailment,1.0
NL32,demand_electricity,1.0
NL32,hvac_transmission:NL23,1.0
NL32,hvac_transmission:NL31,1.0
NL32,hvac_transmission:NL33,1.0
NL32,hydrogen_to_power,1.0
NL33,battery,1.0
NL33,curtailment,1.0
NL33,demand_electricity,1.0
NL33,hvac_transmission:NL31,1.0
NL33,hvac_transmission:NL32,1.0
NL33,hvac_transmission:NL41,1.0
NL33,hydrogen_to_power,1.0
NL34,battery,1.0
NL34,curtailment,1.0
NL34,demand_electricity,1.0
NL34,hvac_transmission:NL41,1.0
NL34,hydrogen_to_power,1.0
NL41,battery,1.0
NL41,curtailment,1.0
NL41,demand_electricity,1.0
NL41,hvac_transmission:NL22,1.0
NL41,hvac_transmission:NL33,1.0
NL41,hvac_transmission:NL34,1.0
NL41,hvac_transmission:NL42,1.0
NL41,hydrogen_to_power,1.0
NL42,battery,1.0
NL42,curtailment,1.0
NL42,demand_electricity,1.0
NL42,hvac_transmission:NL41,1.0
NL42,hydrogen_to_power,1.0
