locs,techs,force_resource
NL11,curtailment,False
NL11,demand_electricity,True
NL11,lost_load,False
NL11,pv_farm,True
NL11,pv_rooftop,True
NL11,wind_offshore,True
NL11,wind_onshore,True
NL12,curtailment,False
NL12,demand_electricity,True
NL12,lost_load,False
NL12,pv_farm,True
NL12,pv_rooftop,True
NL12,wind_offshore,True
NL12,wind_onshore,True
NL13,curtailment,False
NL13,demand_electricity,True
NL13,lost_load,False
NL13,pv_farm,True
NL13,pv_rooftop,True
NL13,wind_onshore,True
NL21,curtailment,False
NL21,demand_electricity,True
NL21,lost_load,False
NL21,pv_farm,True
NL21,pv_rooftop,True
NL21,wind_onshore,True
NL22,curtailment,False
NL22,demand_electricity,True
NL22,lost_load,False
NL22,pv_farm,True
NL22,pv_rooftop,True
NL22,wind_onshore,True
NL23,curtailment,False
NL23,demand_electricity,True
NL23,lost_load,False
NL23,pv_farm,True
NL23,pv_rooftop,True
NL23,wind_offshore,True
NL23,wind_onshore,True
NL31,curtailment,False
NL31,demand_electricity,True
NL31,lost_load,False
NL31,pv_farm,True
NL31,pv_rooftop,True
NL31,wind_onshore,True
NL32,curtailment,False
NL32,demand_electricity,True
NL32,lost_load,False
NL32,pv_farm,True
NL32,pv_rooftop,True
NL32,wind_offshore,True
NL32,wind_onshore,True
NL33,curtailment,False
NL33,demand_electricity,True
NL33,lost_load,False
NL33,pv_farm,True
NL33,pv_rooftop,True
NL33,wind_offshore,True
NL33,wind_onshore,True
NL34,curtailment,False
NL34,demand_electricity,True
NL34,lost_load,False
NL34,pv_farm,True
NL34,pv_rooftop,True
NL34,wind_offshore,True
NL34,wind_onshore,True
NL41,curtailment,False
NL41,demand_electricity,True
NL41,lost_load,False
NL41,pv_farm,True
NL41,pv_rooftop,True
NL41,wind_onshore,True
NL42,curtailment,False
NL42,demand_electricity,True
NL42,lost_load,False
NL42,pv_farm,True
NL42,pv_rooftop,True
NL42,wind_onshore,True
