locs,techs,lookup_loc_techs
NL11,battery,NL11::battery::electricity
NL11,ccgt,NL11::ccgt::electricity
NL11,curtailment,NL11::curtailment::electricity
NL11,demand_electricity,NL11::demand_electricity::electricity
NL11,hvac_transmission:NL12,NL11::hvac_transmission:NL12::electricity
NL11,hvac_transmission:NL13,NL11::hvac_transmission:NL13::electricity
NL11,hydrogen_to_power,NL11::hydrogen_to_power::electricity
NL11,lost_load,NL11::lost_load::electricity
NL11,pv_farm,NL11::pv_farm::electricity
NL11,pv_rooftop,NL11::pv_rooftop::electricity
NL11,wind_offshore,NL11::wind_offshore::electricity
NL11,wind_onshore,NL11::wind_onshore::electricity
NL12,battery,NL12::battery::electricity
NL12,ccgt,NL12::ccgt::electricity
NL12,curtailment,NL12::curtailment::electricity
NL12,demand_electricity,NL12::demand_electricity::electricity
NL12,hvac_transmission:NL11,NL12::hvac_transmission:NL11::electricity
NL12,hvac_transmission:NL23,NL12::hvac_transmission:NL23::electricity
NL12,hydrogen_to_power,NL12::hydrogen_to_power::electricity
NL12,lost_load,NL12::lost_load::electricity
NL12,pv_farm,NL12::pv_farm::electricity
NL12,pv_rooftop,NL12::pv_rooftop::electricity
NL12,wind_offshore,NL12::wind_offshore::electricity
NL12,wind_onshore,NL12::wind_onshore::electricity
NL13,battery,NL13::battery::electricity
NL13,ccgt,NL13::ccgt::electricity
NL13,curtailment,NL13::curtailment::electricity
NL13,demand_electricity,NL13::demand_electricity::electricity
NL13,hvac_transmission:NL11,NL13::hvac_transmission:NL11::electricity
NL13,hvac_transmission:NL21,NL13::hvac_transmission:NL21::electricity
NL13,hydrogen_to_power,NL13::hydrogen_to_power::electricity
NL13,lost_load,NL13::lost_load::electricity
NL13,pv_farm,NL13::pv_farm::electricity
NL13,pv_rooftop,NL13::pv_rooftop::electricity
NL13,wind_onshore,NL13::wind_onshore::electricity
NL21,battery,NL21::battery::electricity
NL21,ccgt,NL21::ccgt::electricity
NL21,curtailment,NL21::curtailment::electricity
NL21,demand_electricity,NL21::demand_electricity::electricity
NL21,hvac_transmission:NL13,NL21::hvac_transmission:NL13::electricity
NL21,hvac_transmission:NL22,NL21::hvac_transmission:NL22::electricity
NL21,hvac_transmission:NL23,NL21::hvac_transmission:NL23::electricity
NL21,hydrogen_to_power,NL21::hydrogen_to_power::electricity
NL21,lost_load,NL21::lost_load::electricity
NL21,pv_farm,NL21::pv_farm::electricity
NL21,pv_rooftop,NL21::pv_rooftop::electricity
NL21,wind_onshore,NL21::wind_onshore::electricity
NL22,battery,NL22::battery::electricity
NL22,ccgt,NL22::ccgt::electricity
NL22,curtailment,NL22::curtailment::electricity
NL22,demand_electricity,NL22::demand_electricity::electricity
NL22,hvac_transmission:NL21,NL22::hvac_transmission:NL21::electricity
NL22,hvac_transmission:NL41,NL22::hvac_transmission:NL41::electricity
NL22,hydrogen_to_power,NL22::hydrogen_to_power::electricity
NL22,lost_load,NL22::lost_load::electricity
NL22,pv_farm,NL22::pv_farm::electricity
NL22,pv_rooftop,NL22::pv_rooftop::electricity
NL22,wind_onshore,NL22::wind_onshore::electricity
NL23,battery,NL23::battery::electricity
NL23,ccgt,NL23::ccgt::electricity
NL23,curtailment,NL23::curtailment::electricity
NL23,demand_electricity,NL23::demand_electricity::electricity
NL23,hvac_transmission:NL12,NL23::hvac_transmission:NL12::electricity
NL23,hvac_transmission:NL21,NL23::hvac_transmission:NL21::electricity
NL23,hvac_transmission:NL32,NL23::hvac_transmission:NL32::electricity
NL23,hydrogen_to_power,NL23::hydrogen_to_power::electricity
NL23,lost_load,NL23::lost_load::electricity
NL23,pv_farm,NL23::pv_farm::electricity
NL23,pv_rooftop,NL23::pv_rooftop::electricity
NL23,wind_offshore,NL23::wind_offshore::electricity
NL23,wind_onshore,NL23::wind_onshore::electricity
NL31,battery,NL31::battery::electricity
NL31,ccgt,NL31::ccgt::electricity
NL31,curtailment,NL31::curtailment::electricity
NL31,demand_electricity,NL31::demand_electricity::electricity
NL31,hvac_transmission:NL32,NL31::hvac_transmission:NL32::electricity
NL31,hvac_transmission:NL33,NL31::hvac_transmission:NL33::electricity
NL31,hydrogen_to_power,NL31::hydrogen_to_power::electricity
NL31,lost_load,NL31::lost_load::electricity
NL31,pv_farm,NL31::pv_farm::electricity
NL31,pv_rooftop,NL31::pv_rooftop::electricity
NL31,wind_onshore,NL31::wind_onshore::electricity
NL32,battery,NL32::battery::electricity
NL32,ccgt,NL32::ccgt::electricity
NL32,curtailment,NL32::curtailment::electricity
NL32,demand_electricity,NL32::demand_electricity::electricity
NL32,hvac_transmission:NL23,NL32::hvac_transmission:NL23::electricity
NL32,hvac_transmission:NL31,NL32::hvac_transmission:NL31::electricity
NL32,hvac_transmission:NL33,NL32::hvac_transmission:NL33::electricity
NL32,hydrogen_to_power,NL32::hydrogen_to_power::electricity
NL32,lost_load,NL32::lost_load::electricity
NL32,pv_farm,NL32::pv_farm::electricity
NL32,pv_rooftop,NL32::pv_rooftop::electricity
NL32,wind_offshore,NL32::wind_offshore::electricity
NL32,wind_onshore,NL32::wind_onshore::electricity
NL33,battery,NL33::battery::electricity
NL33,curtailment,NL33::curtailment::electricity
NL33,demand_electricity,NL33::demand_electricity::electricity
NL33,hvac_transmission:NL31,NL33::hvac_transmission:NL31::electricity
NL33,hvac_transmission:NL32,NL33::hvac_transmission:NL32::electricity
NL33,hvac_transmission:NL41,NL33::hvac_transmission:NL41::electricity
NL33,hydrogen_to_power,NL33::hydrogen_to_power::electricity
NL33,lost_load,NL33::lost_load::electricity
NL33,pv_farm,NL33::pv_farm::electricity
NL33,pv_rooftop,NL33::pv_rooftop::electricity
NL33,wind_offshore,NL33::wind_offshore::electricity
NL33,wind_onshore,NL33::wind_onshore::electricity
NL34,battery,NL34::battery::electricity
NL34,ccgt,NL34::ccgt::electricity
NL34,curtailment,NL34::curtailment::electricity
NL34,demand_electricity,NL34::demand_electricity::electricity
NL34,hvac_transmission:NL41,NL34::hvac_transmission:NL41::electricity
NL34,hydrogen_to_power,NL34::hydrogen_to_power::electricity
NL34,lost_load,NL34::lost_load::electricity
NL34,pv_farm,NL34::pv_farm::electricity
NL34,pv_rooftop,NL34::pv_rooftop::electricity
NL34,wind_offshore,NL34::wind_offshore::electricity
NL34,wind_onshore,NL34::wind_onshore::electricity
NL41,battery,NL41::battery::electricity
NL41,ccgt,NL41::ccgt::electricity
NL41,curtailment,NL41::curtailment::electricity
NL41,demand_electricity,NL41::demand_electricity::electricity
NL41,hvac_transmission:NL22,NL41::hvac_transmission:NL22::electricity
NL41,hvac_transmission:NL33,NL41::hvac_transmission:NL33::electricity
NL41,hvac_transmission:NL34,NL41::hvac_transmission:NL34::electricity
NL41,hvac_transmission:NL42,NL41::hvac_transmission:NL42::electricity
NL41,hydrogen_to_power,NL41::hydrogen_to_power::electricity
NL41,lost_load,NL41::lost_load::electricity
NL41,pv_farm,NL41::pv_farm::electricity
NL41,pv_rooftop,NL41::pv_rooftop::electricity
NL41,wind_onshore,NL41::wind_onshore::electricity
NL42,battery,NL42::battery::electricity
NL42,ccgt,NL42::ccgt::electricity
NL42,curtailment,NL42::curtailment::electricity
NL42,demand_electricity,NL42::demand_electricity::electricity
NL42,hvac_transmission:NL41,NL42::hvac_transmission:NL41::electricity
NL42,hydrogen_to_power,NL42::hydrogen_to_power::electricity
NL42,lost_load,NL42::lost_load::electricity
NL42,pv_farm,NL42::pv_farm::electricity
NL42,pv_rooftop,NL42::pv_rooftop::electricity
NL42,wind_onshore,NL42::wind_onshore::electricity
