locs,techs,resource_unit
NL11,curtailment,energy
NL11,demand_electricity,energy
NL11,lost_load,energy
NL11,pv_farm,energy_per_cap
NL11,pv_rooftop,energy_per_cap
NL11,wind_offshore,energy_per_cap
NL11,wind_onshore,energy_per_cap
NL12,curtailment,energy
NL12,demand_electricity,energy
NL12,lost_load,energy
NL12,pv_farm,energy_per_cap
NL12,pv_rooftop,energy_per_cap
NL12,wind_offshore,energy_per_cap
NL12,wind_onshore,energy_per_cap
NL13,curtailment,energy
NL13,demand_electricity,energy
NL13,lost_load,energy
NL13,pv_farm,energy_per_cap
NL13,pv_rooftop,energy_per_cap
NL13,wind_onshore,energy_per_cap
NL21,curtailment,energy
NL21,demand_electricity,energy
NL21,lost_load,energy
NL21,pv_farm,energy_per_cap
NL21,pv_rooftop,energy_per_cap
NL21,wind_onshore,energy_per_cap
NL22,curtailment,energy
NL22,demand_electricity,energy
NL22,lost_load,energy
NL22,pv_farm,energy_per_cap
NL22,pv_rooftop,energy_per_cap
NL22,wind_onshore,energy_per_cap
NL23,curtailment,energy
NL23,demand_electricity,energy
NL23,lost_load,energy
NL23,pv_farm,energy_per_cap
NL23,pv_rooftop,energy_per_cap
NL23,wind_offshore,energy_per_cap
NL23,wind_onshore,energy_per_cap
NL31,curtailment,energy
NL31,demand_electricity,energy
NL31,lost_load,energy
NL31,pv_farm,energy_per_cap
NL31,pv_rooftop,energy_per_cap
NL31,wind_onshore,energy_per_cap
NL32,curtailment,energy
NL32,demand_electricity,energy
NL32,lost_load,energy
NL32,pv_farm,energy_per_cap
NL32,pv_rooftop,energy_per_cap
NL32,wind_offshore,energy_per_cap
NL32,wind_onshore,energy_per_cap
NL33,curtailment,energy
NL33,demand_electricity,energy
NL33,lost_load,energy
NL33,pv_farm,energy_per_cap
NL33,pv_rooftop,energy_per_cap
NL33,wind_offshore,energy_per_cap
NL33,wind_onshore,energy_per_cap
NL34,curtailment,energy
NL34,demand_electricity,energy
NL34,lost_load,energy
NL34,pv_farm,energy_per_cap
NL34,pv_rooftop,energy_per_cap
NL34,wind_offshore,energy_per_cap
NL34,wind_onshore,energy_per_cap
NL41,curtailment,energy
NL41,demand_electricity,energy
NL41,lost_load,energy
NL41,pv_farm,energy_per_cap
NL41,pv_rooftop,energy_per_cap
NL41,wind_onshore,energy_per_cap
NL42,curtailment,energy
NL42,demand_electricity,energy
NL42,lost_load,energy
NL42,pv_farm,energy_per_cap
NL42,pv_rooftop,energy_per_cap
NL42,wind_onshore,energy_per_cap
