locs,techs,energy_cap
NL11,battery,15.509251
NL11,ccgt,448.47974
NL11,curtailment,367.041
NL11,demand_electricity,507.9137
NL11,hvac_transmission:NL12,3.4401
NL11,hvac_transmission:NL13,15.3276
NL11,hydrogen_to_power,0.0
NL11,lost_load,0.0
NL11,pv_farm,6.4812651
NL11,pv_rooftop,0.0
NL11,wind_offshore,0.0
NL11,wind_onshore,746.51381
NL12,battery,0.17280378
NL12,ccgt,359.80004
NL12,curtailment,245.37733
NL12,demand_electricity,397.55328
NL12,hvac_transmission:NL11,3.4401
NL12,hvac_transmission:NL23,3.4401
NL12,hydrogen_to_power,0.0
NL12,lost_load,0.0
NL12,pv_farm,66.986198
NL12,pv_rooftop,0.0
NL12,wind_offshore,0.0
NL12,wind_onshore,535.29737
NL13,battery,0.0
NL13,ccgt,258.49831
NL13,curtailment,91.351028
NL13,demand_electricity,287.50479
NL13,hvac_transmission:NL11,15.3276
NL13,hvac_transmission:NL21,15.3276
NL13,hydrogen_to_power,0.0
NL13,lost_load,0.0
NL13,pv_farm,49.533332
NL13,pv_rooftop,0.0
NL13,wind_onshore,321.17467
NL21,battery,4.334794
NL21,ccgt,698.9394
NL21,curtailment,359.14509
NL21,demand_electricity,829.29396
NL21,hvac_transmission:NL13,15.3276
NL21,hvac_transmission:NL22,11.8867
NL21,hvac_transmission:NL23,15.3276
NL21,hydrogen_to_power,0.0
NL21,lost_load,0.0
NL21,pv_farm,705.14276
NL21,pv_rooftop,0.0
NL21,wind_onshore,774.25605
NL22,battery,95.592452
NL22,ccgt,1243.4972
NL22,curtailment,399.65458
NL22,demand_electricity,1488.15
NL22,hvac_transmission:NL21,11.8867
NL22,hvac_transmission:NL41,11.8867
NL22,hydrogen_to_power,0.0
NL22,lost_load,0.0
NL22,pv_farm,788.70446
NL22,pv_rooftop,0.0
NL22,wind_onshore,1484.2747
NL23,battery,0.0
NL23,ccgt,241.19172
NL23,curtailment,174.74889
NL23,demand_electricity,269.86522
NL23,hvac_transmission:NL12,3.4401
NL23,hvac_transmission:NL21,15.3276
NL23,hvac_transmission:NL32,16.9811
NL23,hydrogen_to_power,0.0
NL23,lost_load,0.0
NL23,pv_farm,50.134836
NL23,pv_rooftop,0.0
NL23,wind_offshore,0.0
NL23,wind_onshore,357.539
NL31,battery,0.0
NL31,ccgt,1227.4126
NL31,curtailment,400.63615
NL31,demand_electricity,1382.7805
NL31,hvac_transmission:NL32,11.8867
NL31,hvac_transmission:NL33,1.1886
NL31,hydrogen_to_power,0.0
NL31,lost_load,0.0
NL31,pv_farm,690.54053
NL31,pv_rooftop,0.0
NL31,wind_onshore,1412.323
NL32,battery,108.95868
NL32,ccgt,2691.6314
NL32,curtailment,1998.3518
NL32,demand_electricity,3178.0244
NL32,hvac_transmission:NL23,16.9811
NL32,hvac_transmission:NL31,11.8867
NL32,hvac_transmission:NL33,11.8867
NL32,hydrogen_to_power,0.0
NL32,lost_load,0.0
NL32,pv_farm,527.22605
NL32,pv_rooftop,0.0
NL32,wind_offshore,0.0
NL32,wind_onshore,4098.1515
NL33,battery,3320.2624
NL33,curtailment,10630.2
NL33,demand_electricity,3126.3222
NL33,hvac_transmission:NL31,1.1886
NL33,hvac_transmission:NL32,11.8867
NL33,hvac_transmission:NL41,11.8867
NL33,hydrogen_to_power,1221.5757
NL33,lost_load,0.0
NL33,pv_farm,2500.0
NL33,pv_rooftop,5000.0
NL33,wind_offshore,5000.0
NL33,wind_onshore,5000.0
NL34,battery,6.0460815
NL34,ccgt,228.66298
NL34,curtailment,231.15073
NL34,demand_electricity,278.22491
NL34,hvac_transmission:NL41,11.8867
NL34,hydrogen_to_power,0.0
NL34,lost_load,0.0
NL34,pv_farm,52.758482
NL34,pv_rooftop,0.0
NL34,wind_offshore,11.267184
NL34,wind_onshore,384.54725
NL41,battery,46.238988
NL41,ccgt,1933.7864
NL41,curtailment,984.21909
NL41,demand_electricity,2235.2039
NL41,hvac_transmission:NL22,11.8867
NL41,hvac_transmission:NL33,11.8867
NL41,hvac_transmission:NL34,11.8867
NL41,hvac_transmission:NL42,23.7734
NL41,hydrogen_to_power,0.0
NL41,lost_load,0.0
NL41,pv_farm,1040.0255
NL41,pv_rooftop,0.0
NL41,wind_onshore,2503.6885
NL42,battery,80.458459
NL42,ccgt,668.10025
NL42,curtailment,190.9368
NL42,demand_electricity,843.82984
NL42,hvac_transmission:NL41,23.7734
NL42,hydrogen_to_power,0.0
NL42,lost_load,0.0
NL42,pv_farm,943.14564
NL42,pv_rooftop,0.0
NL42,wind_onshore,652.12813
