locs,techs,storage_cap
NL11,battery,62.037006
NL11,hydrogen_to_power,0.0
NL12,battery,0.69121513
NL12,hydrogen_to_power,0.0
NL13,battery,0.0
NL13,hydrogen_to_power,0.0
NL21,battery,17.339176
NL21,hydrogen_to_power,0.0
NL22,battery,382.36981
NL22,hydrogen_to_power,0.0
NL23,battery,0.0
NL23,hydrogen_to_power,0.0
NL31,battery,0.0
NL31,hydrogen_to_power,0.0
NL32,battery,435.83472
NL32,hydrogen_to_power,0.0
NL33,battery,13281.05
NL33,hydrogen_to_power,153189.32
NL34,battery,24.184326
NL34,hydrogen_to_power,0.0
NL41,battery,184.95595
NL41,hydrogen_to_power,0.0
NL42,battery,321.83384
NL42,hydrogen_to_power,0.0
