carriers,locs,timesteps,system_balance
electricity,NL11,2015-03-01 00:00:00,1.8000000068241206e-05
electricity,NL11,2015-03-01 03:00:00,-4.000000128456804e-06
electricity,NL11,2015-03-01 06:00:00,-2.4200000211749284e-05
electricity,NL11,2015-03-01 09:00:00,1.4800000005976699e-05
electricity,NL11,2015-03-01 12:00:00,-1.130000032389944e-05
electricity,NL11,2015-03-01 15:00:00,-1.3700000092597975e-05
electricity,NL11,2015-03-01 18:00:00,-6.800000164730591e-06
electricity,NL11,2015-03-01 21:00:00,5.800000019462459e-05
electricity,NL11,2015-03-02 00:00:00,5.999999984851456e-06
electricity,NL11,2015-03-02 03:00:00,-6.199999998202088e-05
electricity,NL11,2015-03-02 06:00:00,8.950000028562499e-05
electricity,NL11,2015-03-02 09:00:00,5.200000032345997e-06
electricity,NL11,2015-03-02 12:00:00,-1.0800000293187395e-05
electricity,NL11,2015-03-02 15:00:00,1.990000189522334e-06
electricity,NL11,2015-03-02 18:00:00,3.799999990405922e-05
electricity,NL11,2015-03-02 21:00:00,-9.1999999995096e-05
electricity,NL11,2015-03-03 00:00:00,-1.4999999848441803e-05
electricity,NL11,2015-03-03 03:00:00,-1.9299999873823026e-05
electricity,NL11,2015-03-03 06:00:00,8.92999998995947e-05
electricity,NL11,2015-03-03 09:00:00,1.5099999927770114e-05
electricity,NL11,2015-03-03 12:00:00,6.200000143508078e-06
electricity,NL11,2015-03-03 15:00:00,6.10000142842182e-07
electricity,NL11,2015-03-03 18:00:00,-4.0000000126383384e-05
electricity,NL11,2015-03-03 21:00:00,2.7999999929306796e-05
electricity,NL11,2015-03-04 00:00:00,-1.9999998812636477e-06
electricity,NL11,2015-03-04 03:00:00,2.800000015668047e-05
electricity,NL11,2015-03-04 06:00:00,-4.490000005930028e-05
electricity,NL11,2015-03-04 09:00:00,3.500000025269401e-05
electricity,NL11,2015-03-04 12:00:00,-2.0000015865662135e-07
electricity,NL11,2015-03-04 15:00:00,-8.989999880526511e-06
electricity,NL11,2015-03-04 18:00:00,-3.399999982534041e-05
electricity,NL11,2015-03-04 21:00:00,-1.689999990261981e-05
electricity,NL11,2015-03-05 00:00:00,3.999999989900971e-06
electricity,NL11,2015-03-05 03:00:00,9.999999974752427e-07
electricity,NL11,2015-03-05 06:00:00,-8.700000080352766e-06
electricity,NL11,2015-03-05 09:00:00,2.8400000019246363e-05
electricity,NL11,2015-03-05 12:00:00,4.9199999921256676e-05
electricity,NL11,2015-03-05 15:00:00,3.6799999861614197e-05
electricity,NL11,2015-03-05 18:00:00,1.0000000202126103e-05
electricity,NL11,2015-03-05 21:00:00,9.999999974752427e-06
electricity,NL11,2015-03-06 00:00:00,8.999999977277184e-06
electricity,NL11,2015-03-06 03:00:00,0.0
electricity,NL11,2015-03-06 06:00:00,4.700000090451795e-06
electricity,NL11,2015-03-06 09:00:00,1.0000000202126103e-05
electricity,NL11,2015-03-06 12:00:00,-2.6400000024295878e-05
electricity,NL11,2015-03-06 15:00:00,2.7119999913338688e-05
electricity,NL11,2015-03-06 18:00:00,5.000000010113581e-05
electricity,NL11,2015-03-06 21:00:00,-4.329999993135658e-05
electricity,NL11,2015-03-07 00:00:00,3.800000001774606e-05
electricity,NL11,2015-03-07 03:00:00,2.559999995810358e-05
electricity,NL11,2015-03-07 06:00:00,3.3499999833708216e-05
electricity,NL11,2015-03-07 09:00:00,2.470000003995665e-05
electricity,NL11,2015-03-07 12:00:00,-7.67000000472251e-05
electricity,NL11,2015-03-07 15:00:00,-1.4139999986895191e-05
electricity,NL11,2015-03-07 18:00:00,-8.999999991132768e-05
electricity,NL11,2015-03-07 21:00:00,5.000000101063051e-06
electricity,NL11,2015-03-08 00:00:00,3.800000001774606e-05
electricity,NL11,2015-03-08 03:00:00,5.400000009103678e-05
electricity,NL11,2015-03-08 06:00:00,-6.000000460915089e-07
electricity,NL11,2015-03-08 09:00:00,0.0
electricity,NL11,2015-03-08 12:00:00,2.020000008329248e-05
electricity,NL11,2015-03-08 15:00:00,-1.1599999879763345e-05
electricity,NL11,2015-03-08 18:00:00,-1.9999999949504854e-05
electricity,NL11,2015-03-08 21:00:00,-9.999999974752427e-06
electricity,NL11,2015-03-09 00:00:00,9.99999986106559e-06
electricity,NL11,2015-03-09 03:00:00,0.0
electricity,NL11,2015-03-09 06:00:00,3.600000013648241e-05
electricity,NL11,2015-03-09 09:00:00,-6.400000006578921e-05
electricity,NL11,2015-03-09 12:00:00,3.519999995660328e-05
electricity,NL11,2015-03-09 15:00:00,1.1999999969702912e-05
electricity,NL11,2015-03-09 18:00:00,9.999999974752427e-06
electricity,NL11,2015-03-09 21:00:00,1.1000000085914508e-05
electricity,NL11,2015-03-10 00:00:00,5.500000042957254e-06
electricity,NL11,2015-03-10 03:00:00,0.0
electricity,NL11,2015-03-10 06:00:00,-4.0599999692858546e-05
electricity,NL11,2015-03-10 09:00:00,2.9000000040468876e-05
electricity,NL11,2015-03-10 12:00:00,3.089999995609105e-05
electricity,NL11,2015-03-10 15:00:00,-3.860000015265541e-05
electricity,NL11,2015-03-10 18:00:00,9.999999974752427e-06
electricity,NL11,2015-03-10 21:00:00,9.999999974752427e-06
electricity,NL11,2015-03-11 00:00:00,0.0
electricity,NL11,2015-03-11 03:00:00,0.0
electricity,NL11,2015-03-11 06:00:00,-3.209999999853608e-05
electricity,NL11,2015-03-11 09:00:00,7.999999979801942e-06
electricity,NL11,2015-03-11 12:00:00,-1.3999999964653398e-05
electricity,NL11,2015-03-11 15:00:00,-3.9399999877787195e-05
electricity,NL11,2015-03-11 18:00:00,-2.5000000050567905e-05
electricity,NL11,2015-03-11 21:00:00,1.3000000080864993e-05
electricity,NL11,2015-03-12 00:00:00,-7.999999979801942e-06
electricity,NL11,2015-03-12 03:00:00,-9.999999974752427e-07
electricity,NL11,2015-03-12 06:00:00,-3.0800000104136416e-05
electricity,NL11,2015-03-12 09:00:00,8.500000012645614e-05
electricity,NL11,2015-03-12 12:00:00,-9.99999883788405e-07
electricity,NL11,2015-03-12 15:00:00,5.300000020724838e-05
electricity,NL11,2015-03-12 18:00:00,0.0
electricity,NL11,2015-03-12 21:00:00,1.9999999949504854e-05
electricity,NL11,2015-03-13 00:00:00,0.0
electricity,NL11,2015-03-13 03:00:00,0.0
electricity,NL11,2015-03-13 06:00:00,1.7000000070765964e-05
electricity,NL11,2015-03-13 09:00:00,3.700000024764449e-05
